host_time_s,device_timestamp,status,Fx,Fy,Fz,Mx,My,Mz,temperature_C
1765409531.8860872,13312,0,18.672500610351562,85.64120483398438,-15.344257354736328,0.7234640717506409,-0.3076610863208771,0.0011349916458129883,29.020099639892578
1765409531.886309,18664,0,18.831966400146484,85.58506774902344,-15.385387420654297,0.7207671403884888,-0.3103470504283905,0.0008080005645751953,29.020099639892578
1765409531.886541,23970,0,18.66490936279297,85.72547149658203,-15.343920707702637,0.7238080501556396,-0.3086370527744293,0.0007460117340087891,29.020099639892578
1765409531.8866796,29323,0,18.707874298095703,85.55500030517578,-15.364264488220215,0.7208471298217773,-0.30883803963661194,-5.4001808166503906e-05,29.020099639892578
1765409531.8868163,34676,0,18.7774658203125,85.57473754882812,-15.364019393920898,0.7216931581497192,-0.3100120425224304,0.001488029956817627,29.020099639892578
1765409531.8869514,39982,0,18.707590103149414,85.50209045410156,-15.320857048034668,0.7198191285133362,-0.3081250488758087,0.0004630088806152344,29.020099639892578
1765409531.8871126,45335,0,18.646610260009766,85.52750396728516,-15.387537002563477,0.7200921773910522,-0.30668604373931885,0.0003000199794769287,29.020099639892578
1765409531.8873005,50688,0,18.69549560546875,85.6068344116211,-15.430115699768066,0.7214341163635254,-0.3093840777873993,0.0012960433959960938,29.020099639892578
1765409531.887464,55994,0,18.750743865966797,85.61380767822266,-15.34386157989502,0.7218930721282959,-0.30792203545570374,0.0014860033988952637,29.020099639892578
1765409531.887635,61346,0,18.600452423095703,85.41943359375,-15.256025314331055,0.7188801169395447,-0.3068050444126129,0.0013020038604736328,29.020099639892578
1765409531.8878024,66699,0,18.74806022644043,85.54618072509766,-15.363516807556152,0.72138512134552,-0.3103640675544739,0.0011419951915740967,29.020099639892578
1765409531.8879557,72005,0,18.729610443115234,85.6782455444336,-15.408650398254395,0.7232770919799805,-0.3094320595264435,0.0009570121765136719,29.020099639892578
1765409531.9529593,77358,0,18.846351623535156,85.58331298828125,-15.319262504577637,0.7207591533660889,-0.3112180531024933,0.0009559988975524902,29.020099639892578
1765409531.9533484,82664,0,18.888961791992188,85.49433898925781,-15.361825942993164,0.719555139541626,-0.31209805607795715,0.001162022352218628,29.020099639892578
1765409531.9534912,88017,0,18.676925659179688,85.49705505371094,-15.254619598388672,0.7197850942611694,-0.30915307998657227,0.0005950033664703369,29.020099639892578
1765409531.9536302,93370,0,18.715221405029297,85.76766204833984,-15.2779541015625,0.7249170541763306,-0.3095870614051819,0.0005620121955871582,29.020099639892578
1765409531.953768,98676,0,18.797582626342773,85.5141830444336,-15.384557723999023,0.7193590998649597,-0.3109930455684662,0.0011389851570129395,29.020099639892578
1765409531.953905,104029,0,18.717132568359375,85.48591613769531,-15.32046127319336,0.7190160751342773,-0.3085990846157074,0.0007949769496917725,29.020099639892578
1765409531.9540427,109381,0,18.82583999633789,85.6528091430664,-15.428600311279297,0.7225980758666992,-0.3120180666446686,0.0014719963073730469,29.020099639892578
1765409531.9541829,114688,0,18.64031410217285,85.67010498046875,-15.475299835205078,0.7219201326370239,-0.30766403675079346,0.0009489953517913818,29.020099639892578
1765409531.954321,120040,0,18.652612686157227,85.57235717773438,-15.34385871887207,0.7220660448074341,-0.3077760338783264,0.0016469955444335938,29.020099639892578
1765409531.9544575,125393,0,18.641921997070312,85.73982238769531,-15.366473197937012,0.7241681218147278,-0.30799803137779236,0.001260995864868164,29.020099639892578
1765409531.9545946,130699,0,18.724365234375,85.63644409179688,-15.386030197143555,0.7226121425628662,-0.31042006611824036,0.0016260147094726562,29.020099639892578
1765409531.9547548,136052,0,18.628774642944336,85.57696533203125,-15.277457237243652,0.7215170860290527,-0.30855605006217957,0.0005820095539093018,29.020099639892578
1765409531.9548924,141358,0,18.791690826416016,85.57730102539062,-15.342155456542969,0.7221381068229675,-0.3101750612258911,0.0016610026359558105,29.020099639892578
1765409532.0221558,146711,0,18.7498836517334,85.48939514160156,-15.363529205322266,0.7194830775260925,-0.30969905853271484,0.0011479854583740234,29.020099639892578
1765409532.022696,152064,0,18.73821258544922,85.60931396484375,-15.342409133911133,0.7218800783157349,-0.3098880648612976,0.001287996768951416,29.020099639892578
1765409532.0230212,157370,0,18.672006607055664,85.53427124023438,-15.343245506286621,0.7191360592842102,-0.30804502964019775,0.0017920136451721191,29.020099639892578
1765409532.0233536,162722,0,18.698680877685547,85.52043151855469,-15.277105331420898,0.7214951515197754,-0.3090360462665558,0.0016450285911560059,28.913925170898438
1765409532.0236804,168075,0,18.738811492919922,85.52961730957031,-15.275897026062012,0.7209950685501099,-0.3105950355529785,0.0012860000133514404,29.020099639892578
1765409532.0239978,173381,0,18.739309310913086,85.53377532958984,-15.342592239379883,0.721014142036438,-0.30919206142425537,0.0018290281295776367,29.020099639892578
1765409532.0243325,178734,0,18.731861114501953,85.57539367675781,-15.408019065856934,0.7221190929412842,-0.3094620406627655,0.000987023115158081,29.020099639892578
1765409532.024665,184087,0,18.675477981567383,85.55711364746094,-15.343454360961914,0.7212700843811035,-0.3077220320701599,0.0006299912929534912,29.020099639892578
1765409532.0249999,189393,0,18.68463134765625,85.54055786132812,-15.342910766601562,0.720466136932373,-0.3081970512866974,0.0004520118236541748,29.020099639892578
1765409532.025322,194746,0,18.667160034179688,85.62261962890625,-15.34328842163086,0.7226501107215881,-0.30866706371307373,0.0007760226726531982,29.020099639892578
1765409532.0256386,200052,0,18.766189575195312,85.4639663696289,-15.385580062866211,0.7187671065330505,-0.3091990351676941,0.0013360083103179932,29.020099639892578
1765409532.025955,205405,0,18.69617462158203,85.65081024169922,-15.343646049499512,0.7229570746421814,-0.30831605195999146,0.0006120204925537109,29.020099639892578
1765409532.0262759,210757,0,18.796133041381836,85.66189575195312,-15.276573181152344,0.7224761247634888,-0.3105880618095398,0.0009270012378692627,29.020099639892578
